Description,Address,Value,Type
P2_A_Color,2C268909,??,Byte
P2_B_Color,2C269451,??,Byte
P2_C_Color,2C269F99,??,Byte
CornerJump,,,Byte
P1_A_CornerJump,2C268515,??,Byte
P1_B_CornerJump,2C26905D,??,Byte
P1_C_CornerJump,2C269BA5,??,Byte
P2_A_CornerJump,2C268AB9,??,Byte
P2_B_CornerJump,2C269601,??,Byte
P2_C_CornerJump,2C26A149,??,Byte
Corner_Touch,,,Byte
P1_A_Corner_Touch,2C26853D,??,Byte
P1_B_Corner_Touch,2C269085,??,Byte
P1_C_Corner_Touch,2C269BCD,??,Byte
P2_A_Corner_Touch,2C268AE1,??,Byte
P2_B_Corner_Touch,2C269629,??,Byte
P2_C_Corner_Touch,2C26A171,??,Byte
Damage,,,Byte
P1_A_Damage,2C26866E,??,Byte
P1_B_Damage,2C2691B6,??,Byte
P1_C_Damage,2C269CFE,??,Byte
P2_A_Damage,2C268C12,??,Byte
P2_B_Damage,2C26975A,??,Byte
P2_C_Damage,2C26A2A2,??,Byte
Damage_Modifier,,,Byte
P1_A_Damage_Modifier,2C268545,??,Byte
P1_B_Damage_Modifier,2C26908D,??,Byte
P1_C_Damage_Modifier,2C269BD5,??,Byte
P2_A_Damage_Modifier,2C268AE9,??,Byte
P2_B_Damage_Modifier,2C269631,??,Byte
P2_C_Damage_Modifier,2C26A179,??,Byte
Defense_Modifier,,,Byte
P1_A_Defense_Modifier,2C268546,??,Byte
P1_B_Defense_Modifier,2C26908E,??,Byte
P1_C_Defense_Modifier,2C269BD6,??,Byte
P2_A_Defense_Modifier,2C268AEA,??,Byte
P2_B_Defense_Modifier,2C269632,??,Byte
P2_C_Defense_Modifier,2C26A17A,??,Byte
Dizzy_Reset_Timer,,,Byte
P1_A_Dizzy_Reset_Timer,2C268522,??,Byte
P1_B_Dizzy_Reset_Timer,2C26906A,??,Byte
P1_C_Dizzy_Reset_Timer,2C269BB2,??,Byte
P2_A_Dizzy_Reset_Timer,2C268AC6,??,Byte
P2_B_Dizzy_Reset_Timer,2C26960E,??,Byte
P2_C_Dizzy_Reset_Timer,2C26A156,??,Byte
Dizzy,,,Byte
P1_A_Dizzy,2C268521,??,Byte
P1_B_Dizzy,2C269069,??,Byte
P1_C_Dizzy,2C269BB1,??,Byte
P2_A_Dizzy,2C268AC5,??,Byte
P2_B_Dizzy,2C26960D,??,Byte
P2_C_Dizzy,2C26A155,??,Byte
Facing_Right,,,Byte
P1_A_Facing_Right,2C268450,??,Byte
P1_B_Facing_Right,2C268F98,??,Byte
P1_C_Facing_Right,2C269AE0,??,Byte
P2_A_Facing_Right,2C2689F4,??,Byte
P2_B_Facing_Right,2C26953C,??,Byte
P2_C_Facing_Right,2C26A084,??,Byte
Flight_Flag,,,Byte
P1_A_Flight_Flag,2C268541,??,Byte
P1_B_Flight_Flag,2C269089,??,Byte
P1_C_Flight_Flag,2C269BD1,??,Byte
P2_A_Flight_Flag,2C268AE5,??,Byte
P2_B_Flight_Flag,2C26962D,??,Byte
P2_C_Flight_Flag,2C26A175,??,Byte
FlyingScreen,,,Byte
P1_A_FlyingScreen,2C268575,??,Byte
P1_B_FlyingScreen,2C2690BD,??,Byte
P1_C_FlyingScreen,2C269C05,??,Byte
P2_A_FlyingScreen,2C268B19,??,Byte
P2_B_FlyingScreen,2C269661,??,Byte
P2_C_FlyingScreen,2C26A1A9,??,Byte
FSI_Combo,,,Byte
P1_A_FSI_Combo,2C2685A0,??,Byte
P1_B_FSI_Combo,2C2690E8,??,Byte
P1_C_FSI_Combo,2C269C30,??,Byte
P2_A_FSI_Combo,2C268B44,??,Byte
P2_B_FSI_Combo,2C26968C,??,Byte
P2_C_FSI_Combo,2C26A1D4,??,Byte
FSI_Points,,,Byte
P1_A_FSI_Points,2C2685B3,??,Byte
P1_B_FSI_Points,2C2690FB,??,Byte
P1_C_FSI_Points,2C269C43,??,Byte
P2_A_FSI_Points,2C268B57,??,Byte
P2_B_FSI_Points,2C26969F,??,Byte
P2_C_FSI_Points,2C26A1E7,??,Byte
FSI_Projectile,,,Byte
P1_A_FSI_Projectile,2C2685B6,??,Byte
P1_B_FSI_Projectile,2C2690FE,??,Byte
P1_C_FSI_Projectile,2C269C46,??,Byte
P2_A_FSI_Projectile,2C268B5A,??,Byte
P2_B_FSI_Projectile,2C2696A2,??,Byte
P2_C_FSI_Projectile,2C26A1EA,??,Byte
Guardbreak_Flag,,,Byte
P1_A_Guardbreak_Flag,2C268550,??,Byte
P1_B_Guardbreak_Flag,2C269098,??,Byte
P1_C_Guardbreak_Flag,2C269BE0,??,Byte
P2_A_Guardbreak_Flag,2C268AF4,??,Byte
P2_B_Guardbreak_Flag,2C26963C,??,Byte
P2_C_Guardbreak_Flag,2C26A184,??,Byte
Health_Big,,,Byte
P1_A_Health_Big,2C268760,??,Byte
P1_B_Health_Big,2C2692A8,??,Byte
P1_C_Health_Big,2C269DF0,??,Byte
P2_A_Health_Big,2C268D04,??,Byte
P2_B_Health_Big,2C26984C,??,Byte
P2_C_Health_Big,2C26A394,??,Byte
Health_Small,,,Byte
P1_A_Health_Small,2C268764,??,Byte
P1_B_Health_Small,2C2692AC,??,Byte
P1_C_Health_Small,2C269DF4,??,Byte
P2_A_Health_Small,2C268D08,??,Byte
P2_B_Health_Small,2C269850,??,Byte
P2_C_Health_Small,2C26A398,??,Byte
Hitstop2,,,Byte
P1_A_Hitstop2,2C2684E0,??,Byte
P1_B_Hitstop2,2C269028,??,Byte
P1_C_Hitstop2,2C269B70,??,Byte
P2_A_Hitstop2,2C268A84,??,Byte
P2_B_Hitstop2,2C2695CC,??,Byte
P2_C_Hitstop2,2C26A114,??,Byte
Hyper_Armor,,,Byte
P1_A_Hyper_Armor,2C268542,??,Byte
P1_B_Hyper_Armor,2C26908A,??,Byte
P1_C_Hyper_Armor,2C269BD2,??,Byte
P2_A_Hyper_Armor,2C268AE6,??,Byte
P2_B_Hyper_Armor,2C26962E,??,Byte
P2_C_Hyper_Armor,2C26A176,??,Byte
ID_2,,,Byte
P1_A_ID_2,2C268341,??,Byte
P1_B_ID_2,2C268E89,??,Byte
P1_C_ID_2,2C2699D1,??,Byte
P2_A_ID_2,2C2688E5,??,Byte
P2_B_ID_2,2C26942D,??,Byte
P2_C_ID_2,2C269F75,??,Byte
Idle_Hover,,,Byte
P1_A_Idle_Hover,2C268543,??,Byte
P1_B_Idle_Hover,2C26908B,??,Byte
P1_C_Idle_Hover,2C269BD3,??,Byte
P2_A_Idle_Hover,2C268AE7,??,Byte
P2_B_Idle_Hover,2C26962F,??,Byte
P2_C_Idle_Hover,2C26A177,??,Byte
Is_Active,,,Byte
P1_A_Is_Active,2C268340,??,Byte
P1_B_Is_Active,2C268E88,??,Byte
P1_C_Is_Active,2C2699D0,??,Byte
P2_A_Is_Active,2C2688E4,??,Byte
P2_B_Is_Active,2C26942C,??,Byte
P2_C_Is_Active,2C269F74,??,Byte
Is_Point,,,Byte
P1_A_Is_Point,2C268751,??,Byte
P1_B_Is_Point,2C269299,??,Byte
P1_C_Is_Point,2C269DE1,??,Byte
P2_A_Is_Point,2C268CF5,??,Byte
P2_B_Is_Point,2C26983D,??,Byte
P2_C_Is_Point,2C26A385,??,Byte
Is_ProxBlock,,,Byte
P1_A_Is_Prox_Block,2C268499,??,Byte
P1_B_Is_Prox_Block,2C268FE1,??,Byte
P1_C_Is_Prox_Block,2C269B29,??,Byte
P2_A_Is_Prox_Block,2C268A3D,??,Byte
P2_B_Is_Prox_Block,2C269585,??,Byte
P2_C_Is_Prox_Block,2C26A0CD,??,Byte
Jumping_Special_Counter,,,Byte
P1_A_Jumping_Special_Counter,2C268514,??,Byte
P1_B_Jumping_Special_Counter,2C26905C,??,Byte
P1_C_Jumping_Special_Counter,2C269BA4,??,Byte
P2_A_Jumping_Special_Counter,2C268AB8,??,Byte
P2_B_Jumping_Special_Counter,2C269600,??,Byte
P2_C_Jumping_Special_Counter,2C26A148,??,Byte
Jumps,,,Byte
P1_A_Jumps,2C268519,??,Byte
P1_B_Jumps,2C269061,??,Byte
P1_C_Jumps,2C269BA9,??,Byte
P2_A_Jumps,2C268ABD,??,Byte
P2_B_Jumps,2C269605,??,Byte
P2_C_Jumps,2C26A14D,??,Byte
Knockdown_State,,,Byte
P1_A_Knockdown_State,2C268510,??,Byte
P1_B_Knockdown_State,2C269058,??,Byte
P1_C_Knockdown_State,2C269BA0,??,Byte
P2_A_Knockdown_State,2C268AB4,??,Byte
P2_B_Knockdown_State,2C2695FC,??,Byte
P2_C_Knockdown_State,2C26A144,??,Byte
Landing_Shake,,,Byte
P1_A_Landing_Shake,2C268547,??,Byte
P1_B_Landing_Shake,2C26908F,??,Byte
P1_C_Landing_Shake,2C269BD7,??,Byte
P2_A_Landing_Shake,2C268AEB,??,Byte
P2_B_Landing_Shake,2C269633,??,Byte
P2_C_Landing_Shake,2C26A17B,??,Byte
Magneto_Throw_Toggle,,,Byte
P1_A_Magneto_Throw_Toggle,2C268576,??,Byte
P1_B_Magneto_Throw_Toggle,2C2690BE,??,Byte
P1_C_Magneto_Throw_Toggle,2C269C06,??,Byte
P2_A_Magneto_Throw_Toggle,2C268B1A,??,Byte
P2_B_Magneto_Throw_Toggle,2C269662,??,Byte
P2_C_Magneto_Throw_Toggle,2C26A1AA,??,Byte
Move_Disable,,,Byte
P1_A_Move_Disable,2C268533,??,Byte
P1_B_Move_Disable,2C26907B,??,Byte
P1_C_Move_Disable,2C269BC3,??,Byte
P2_A_Move_Disable,2C268AD7,??,Byte
P2_B_Move_Disable,2C26961F,??,Byte
P2_C_Move_Disable,2C26A167,??,Byte
Normal_Held_Direction,,,Byte
P1_A_Normal_Held_Direction,2C268362,??,Byte
P1_B_Normal_Held_Direction,2C268EAA,??,Byte
P1_C_Normal_Held_Direction,2C2699F2,??,Byte
P2_A_Normal_Held_Direction,2C268906,??,Byte
P2_B_Normal_Held_Direction,2C26944E,??,Byte
P2_C_Normal_Held_Direction,2C269F96,??,Byte
Normal_Location,,,Byte
P1_A_Normal_Location,2C26853F,??,Byte
P1_B_Normal_Location,2C269087,??,Byte
P1_C_Normal_Location,2C269BCF,??,Byte
P2_A_Normal_Location,2C268AE3,??,Byte
P2_B_Normal_Location,2C26962B,??,Byte
P2_C_Normal_Location,2C26A173,??,Byte
Normal_Strength,,,Byte
P1_A_Normal_Strength,2C2684E7,??,Byte
P1_B_Normal_Strength,2C26902F,??,Byte
P1_C_Normal_Strength,2C269B77,??,Byte
P2_A_Normal_Strength,2C268A8B,??,Byte
P2_B_Normal_Strength,2C2695D3,??,Byte
P2_C_Normal_Strength,2C26A11B,??,Byte
Powerup_Modifier,,,Byte
P1_A_Powerup_Modifier,2C26872E,??,2 Byte
P1_B_Powerup_Modifier,2C269276,??,2 Byte
P1_C_Powerup_Modifier,2C269DBE,??,2 Byte
P2_A_Powerup_Modifier,2C268CD2,??,2 Byte
P2_B_Powerup_Modifier,2C26981A,??,2 Byte
P2_C_Powerup_Modifier,2C26A362,??,2 Byte
Powerup_Timer,,,Byte
P1_A_Powerup_Timer,2C268726,??,2 Byte
P1_B_Powerup_Timer,2C26926E,??,2 Byte
P1_C_Powerup_Timer,2C269DB6,??,2 Byte
P2_A_Powerup_Timer,2C268CCA,??,2 Byte
P2_B_Powerup_Timer,2C269812,??,2 Byte
P2_C_Powerup_Timer,2C26A35A,??,2 Byte
ProxBlock,,,Byte
P1_A_Proxblock,2C26848A,??,Byte
P1_B_Proxblock,2C268FD2,??,Byte
P1_C_Proxblock,2C269B1A,??,Byte
P2_A_Proxblock,2C268A2E,??,Byte
P2_B_Proxblock,2C269576,??,Byte
P2_C_Proxblock,2C26A0BE,??,Byte
PunchKick,,,Byte
P1_A_PunchKick,2C26853E,??,2 Byte
P1_B_PunchKick,2C269086,??,2 Byte
P1_C_PunchKick,2C269BCE,??,2 Byte
P2_A_PunchKick,2C268AE2,??,2 Byte
P2_B_PunchKick,2C26962A,??,2 Byte
P2_C_PunchKick,2C26A172,??,2 Byte
SJ_Counter,,,Byte
P1_A_SJ_Counter,2C26853C,??,Byte
P1_B_SJ_Counter,2C269084,??,Byte
P1_C_SJ_Counter,2C269BCC,??,Byte
P2_A_SJ_Counter,2C268AE0,??,Byte
P2_B_SJ_Counter,2C269628,??,Byte
P2_C_SJ_Counter,2C26A170,??,Byte
Snapback_Timer,,,Byte
P1_A_Snapback_Timer,2C2685E0,??,2 Byte
P1_B_Snapback_Timer,2C269128,??,2 Byte
P1_C_Snapback_Timer,2C269C70,??,2 Byte
P2_A_Snapback_Timer,2C268B84,??,2 Byte
P2_B_Snapback_Timer,2C2696CC,??,2 Byte
P2_C_Snapback_Timer,2C26A214,??,2 Byte
Special_Attack_ID,,,Byte
P1_A_Special_Attack_ID,2C268529,??,Byte
P1_B_Special_Attack_ID,2C269071,??,Byte
P1_C_Special_Attack_ID,2C269BB9,??,Byte
P2_A_Special_Attack_ID,2C268ACD,??,Byte
P2_B_Special_Attack_ID,2C269615,??,Byte
P2_C_Special_Attack_ID,2C26A15D,??,Byte
Special_Strength,,,Byte
P1_A_Special_Strength,2C2684E3,??,Byte
P1_B_Special_Strength,2C26902B,??,Byte
P1_C_Special_Strength,2C269B73,??,Byte
P2_A_Special_Strength,2C268A87,??,Byte
P2_B_Special_Strength,2C2695CF,??,Byte
P2_C_Special_Strength,2C26A117,??,Byte
Speedup,,,Byte
P1_A_Speedup,2C268540,??,Byte
P1_B_Speedup,2C269088,??,Byte
P1_C_Speedup,2C269BD0,??,Byte
P2_A_Speedup,2C268AE4,??,Byte
P2_B_Speedup,2C26962C,??,Byte
P2_C_Speedup,2C26A174,??,Byte
Stun_Check,,,Byte
P1_A_Stun_Check,2C268345,??,Byte
P1_B_Stun_Check,2C268E8D,??,Byte
P1_C_Stun_Check,2C2699D5,??,Byte
P2_A_Stun_Check,2C2688E9,??,Byte
P2_B_Stun_Check,2C269431,??,Byte
P2_C_Stun_Check,2C269F79,??,Byte
Super_Armor,,,Byte
P1_A_Super_Armor,2C268732,??,Byte
P1_B_Super_Armor,2C26927A,??,Byte
P1_C_Super_Armor,2C269DC2,??,Byte
P2_A_Super_Armor,2C268CD6,??,Byte
P2_B_Super_Armor,2C26981E,??,Byte
P2_C_Super_Armor,2C26A366,??,Byte
Throw_Counter_Mash,,,Byte
P1_A_Throw_Counter_Mash,2C26859C,??,2 Byte
P1_B_Throw_Counter_Mash,2C2690E4,??,2 Byte
P1_C_Throw_Counter_Mash,2C269C2C,??,2 Byte
P2_A_Throw_Counter_Mash,2C268B40,??,2 Byte
P2_B_Throw_Counter_Mash,2C269688,??,2 Byte
P2_C_Throw_Counter_Mash,2C26A1D0,??,2 Byte
Throw_Immune,,,Byte
P1_A_Throw_Immune,2C26852B,??,Byte
P1_B_Throw_Immune,2C269073,??,Byte
P1_C_Throw_Immune,2C269BBB,??,Byte
P2_A_Throw_Immune,2C268ACF,??,Byte
P2_B_Throw_Immune,2C269617,??,Byte
P2_C_Throw_Immune,2C26A15F,??,Byte
Throw_Limiter,,,Byte
P1_A_Throw_Limiter,2C26857A,??,Byte
P1_B_Throw_Limiter,2C2690C2,??,Byte
P1_C_Throw_Limiter,2C269C0A,??,Byte
P2_A_Throw_Limiter,2C268B1E,??,Byte
P2_B_Throw_Limiter,2C269666,??,Byte
P2_C_Throw_Limiter,2C26A1AE,??,Byte
Throw_RNG,,,Byte
P1_A_Throw_RNG,2C26859E,??,2 Byte
P1_B_Throw_RNG,2C2690E6,??,2 Byte
P1_C_Throw_RNG,2C269C2E,??,2 Byte
P2_A_Throw_RNG,2C268B42,??,2 Byte
P2_B_Throw_RNG,2C26968A,??,2 Byte
P2_C_Throw_RNG,2C26A1D2,??,2 Byte
Trip_Checker,,,Byte
P1_A_Trip_Checker,2C2683AC,??,Byte
P1_B_Trip_Checker,2C268EF4,??,Byte
P1_C_Trip_Checker,2C269A3C,??,Byte
P2_A_Trip_Checker,2C268950,??,Byte
P2_B_Trip_Checker,2C269498,??,Byte
P2_C_Trip_Checker,2C269FE0,??,Byte
Unfly,,,Byte
P1_A_Unfly,2C268516,??,Byte
P1_B_Unfly,2C26905E,??,Byte
P1_C_Unfly,2C269BA6,??,Byte
P2_A_Unfly,2C268ABA,??,Byte
P2_B_Unfly,2C269602,??,Byte
P2_C_Unfly,2C26A14A,??,Byte
Walking,,,Byte
P1_A_Walking,2C268513,??,Byte
P1_B_Walking,2C26905B,??,Byte
P1_C_Walking,2C269BA3,??,Byte
P2_A_Walking,2C268AB7,??,Byte
P2_B_Walking,2C2695FF,??,Byte
P2_C_Walking,2C26A147,??,Byte
System_Values,,,Byte
Assist_Flags,,,Byte
P1_Assist_Flag,2C289632,??,Byte
P2_Assist_Flag,2C289633,??,Byte
Camera,,,Byte
Camera_1,,,Byte
Camera_Lock,2C26A51F,??,Byte
Camera_Field_of_View,2C26A584,??,Float
Camera_X_Position,2C26A56C,??,Float
Camera_X_Rotation,2C26A524,??,Float
Rotation Mirror,2C1F9CE4,??,Float
Camera_Y_Position,2C26A570,??,Float
Camera_Y_Rotation,2C26A528,??,Float
Camera_Z_Position,2C26A52C,??,Float
Camera_Z_Mirror_1,2C2D6B14,??,Float
Camera_Z_Mirror_2,2C1F9CE0,??,Float
Camera_Z_Sprite_Scale,2C26A538,??,Float
Camera_X_Left_Max,2C26A5B0,??,Float
Camera_X_Right_Max,2C26A5B4,??,Float
Combo_Meter,,,Byte
P1_Attacks_Done,2C28966C,??,Byte
P1_Attacks_Successful,2C289670,??,2 Byte
P1_Combo_Meter_Value,2C268B50,??,Byte
P1_Max_Combo,2C2685AA,??,Byte
P2_Attacks_Done,2C28966E,??,Byte
P2_Attacks_Successful,2C289672,??,2 Byte
P2_Combo_Meter_Value,2C2685AC,??,Byte
P2_Max_Combo,2C268B4E,??,Byte
P1_Hitbox_Count,2C287DDE,??,Byte
P2_Hitbox_Count,2C287DDF,??,Byte
Frame_Skip,,,Byte
Frame_Counter,2C1F9D80,??,4 Byte
Frame_Skip_Counter,2C289621,??,Byte
Frame_Skip_Cycle_Value,2C289600,??,2 Byte
Frame_Skip_Rate,2C289620,??,Byte
Frame_Skip_Toggle,2C289622,??,Byte
Inputs,,,Byte
P1_Input_DEC,2C2681DC,??,2 Byte
P2_Input_DEC,2C2681F0,??,2 Byte
Meter,,,Byte
P1_Meter_Big,2C28964A,??,Byte
P1_Meter_Small,2C28966C,??,Byte
P2_Meter_Big,2C28964B,??,Byte
P2_Meter_Small,2C28966E,??,Byte
VS_Mode,,,Byte
Abyss_Stage_Change,2C26A8C8,??,Byte
Attack_Info_Display_A,2C2682EE,??,Byte
Attack_Info_Display_Health,2C2682E6,??,Byte
Attack_Info_Display_Y_Position,2C2682F2,??,Byte
First Attack Indicator,2C2895F2,??,Byte
HC_Gauge_Toggle,2C2682EA,??,Byte
Is_Paused,2C1C9166,??,Byte
Match_Start_Throw_Timer,2C289602,??,2 Byte
Match_Tracker,2C2895F0,??,Byte
P1_Pause_ID,2C212CA2,??,Byte
P2_Pause_ID,2C212CA3,??,Byte
Pause_Count,2C3461FD,??,Byte
Stage_Selector,2C26A95C,??,Byte
Timer_Secondary,2C289631,??,Byte
Versus_Score,,,Byte
P1_Versus_Score,,,Byte
P1_Wins_Value,2C28968C,??,Byte
P1_Wins_Label,2C13A2AC,??,String
P2_Versus_Score,,,Byte
P2_Wins_Value,2C28968D,??,Byte
P2_Wins_Label,2C28A053,??,String
Demo_Mode,,,Byte
Demo_Mode_Pointer,2C14DAE8,??,4 Byte
Stage_Model_Selector,2C28C6F0,??,Byte
BackgroundColor,2C28C6EA,??,Byte
NumberSelector,2C28C6E9,??,Byte
model,2C13B55C,??,Byte
number,2C13B550,??,Byte
material,2C13B55C,??,Byte
vertex,2C13B570,??,Byte
PRESS,2C13B584,??,Byte
menu disp,2C28C71C,??,Byte
X,2C28C704,??,Float
Y,2C28C714,??,Float
Z,2C28C6F8,??,Float
extra,,,Byte
P1_A_Attack_Data_Index,2C2684E1,??,Byte
P1_A_Attack_Data_Pointer,2C2684B4,??,4 Byte
P1_A_CPU,2C268865,??,Byte
Storm HP,2C537738,??,Byte
Mash_Counter,2C26835E,??,2 Byte
Guile Launcher Attack Data,2C4B8CC0,??,Byte
header_copy,,,Byte
